source_gene,gene_name
Gene::5173,PDYN
Gene::9867,PJA2
Gene::5825,ABCD3
Gene::65110,UPF3A
Gene::4129,MAOB
Gene::133686,NADK2
Gene::280636,SELENOH
Gene::2597,GAPDH
Gene::8815,BANF1
Gene::63923,TNN
Gene::2703,GJA8
Gene::51339,DACT1
Gene::100128998,C20orf181
Gene::10695,CNPY3
Gene::57835,SLC4A5
Gene::29945,ANAPC4
Gene::53335,BCL11A
Gene::58190,CTDSP1
Gene::11148,HHLA2
Gene::445,ASS1
Gene::25963,TMEM87A
Gene::23255,MTCL1
Gene::2686,GGT7
Gene::10343,PKDREJ
Gene::55250,ELP2
Gene::2998,GYS2
Gene::4074,M6PR
Gene::81792,ADAMTS12
Gene::9238,TBRG4
Gene::421,ARVCF
Gene::29907,SNX15
Gene::134430,WDR36
Gene::1497,CTNS
Gene::1365,CLDN3
Gene::115650,TNFRSF13C
Gene::7319,UBE2A
Gene::80310,PDGFD
Gene::200894,ARL13B
Gene::6845,VAMP7
Gene::2785,GNG3
Gene::57082,KNL1
Gene::22889,KHDC4
Gene::114987,WDR31
Gene::917,CD3G
Gene::51696,HECA
Gene::3671,ISLR
Gene::53822,FXYD7
Gene::2305,FOXM1
Gene::5625,PRODH
Gene::8092,ALX1
Gene::6344,SCTR
Gene::7782,SLC30A4
Gene::441670,OR4M1
Gene::51147,ING4
Gene::51571,CYRIB
Gene::1610,DAO
Gene::4821,NKX2-2
Gene::7086,TKT
Gene::6278,S100A7
Gene::1774,DNASE1L1
Gene::8566,PDXK
Gene::56154,TEX15
Gene::219429,OR4C11
Gene::84299,MIEN1
Gene::23370,ARHGEF18
Gene::23530,NNT
Gene::10691,GMEB1
Gene::91179,SCARF2
Gene::109,ADCY3
Gene::81894,SLC25A28
Gene::5346,PLIN1
Gene::3456,IFNB1
Gene::6094,ROM1
Gene::6925,TCF4
Gene::9950,GOLGA5
Gene::11076,TPPP
Gene::9710,GARRE1
Gene::8853,ASAP2
Gene::9162,DGKI
Gene::2840,GPR17
Gene::10015,PDCD6IP
Gene::5978,REST
Gene::9746,CLSTN3
Gene::245973,ATP6V1C2
Gene::5283,PIGH
Gene::85461,TANC1
Gene::2569,GABRR1
Gene::59339,PLEKHA2
Gene::11128,POLR3A
Gene::10143,CLEC3A
Gene::2535,FZD2
Gene::1785,DNM2
Gene::27339,PRPF19
Gene::6300,MAPK12
Gene::55632,G2E3
Gene::5886,RAD23A
Gene::10260,DENND4A
Gene::117159,DCD
Gene::8887,TAX1BP1
Gene::64579,NDST4
Gene::23564,DDAH2
Gene::10517,FBXW10
Gene::23587,ELP5
Gene::89777,SERPINB12
Gene::29952,DPP7
Gene::6888,TALDO1
Gene::10345,TRDN
Gene::8522,GAS7
Gene::57167,SALL4
Gene::347148,QRFP
Gene::120796,OR56A1
Gene::2832,NPBWR2
Gene::28951,TRIB2
Gene::6262,RYR2
Gene::3646,EIF3E
Gene::6284,S100A13
Gene::5317,PKP1
Gene::79607,FAM118B
Gene::79039,DDX54
Gene::410,ARSA
Gene::5629,PROX1
Gene::8309,ACOX2
Gene::9699,RIMS2
Gene::64682,ANAPC1
Gene::23089,PEG10
Gene::10003,NAALAD2
Gene::23522,KAT6B
Gene::51441,YTHDF2
Gene::5293,PIK3CD
Gene::1368,CPM
Gene::389114,ZNF662
Gene::55638,SYBU
Gene::5141,PDE4A
Gene::11105,PRDM7
Gene::54491,OTULINL
Gene::60560,NAA35
Gene::391,RHOG
Gene::4961527,HHV8GK18_gp81
Gene::29766,TMOD3
Gene::5376,PMP22
Gene::8842,PROM1
Gene::8932,MBD2
Gene::4935,GPR143
Gene::11010,GLIPR1
Gene::1117,CHI3L2
Gene::5290,PIK3CA
Gene::11269,DDX19B
Gene::144347,RFLNA
Gene::7681,MKRN3
Gene::57459,GATAD2B
Gene::100,ADA
Gene::219,ALDH1B1
Gene::10622,POLR3G
Gene::6348,CCL3
Gene::925,CD8A
Gene::57406,ABHD6
Gene::8438,RAD54L
Gene::221687,RNF182
Gene::84057,MND1
Gene::26659,OR7A5
Gene::26952,SMR3A
Gene::6470,SHMT1
Gene::23314,SATB2
Gene::10992,SF3B2
Gene::10813,UTP14A
Gene::2746,GLUD1
Gene::7543,ZFX
Gene::27436,EML4
Gene::81031,SLC2A10
Gene::3802,KIR2DL1
Gene::340419,RSPO2
Gene::57540,DISP3
Gene::9117,SEC22C
Gene::55197,RPRD1A
Gene::3916,LAMP1
Gene::9249,DHRS3
Gene::29122,PRSS50
Gene::2639,GCDH
Gene::84687,PPP1R9B
Gene::283349,RASSF3
Gene::167465,ZNF366
Gene::10075,HUWE1
Gene::26872,STEAP1
Gene::80204,FBXO11
Gene::960,CD44
Gene::56001,NXF2
Gene::23032,USP33
Gene::8120,AP3B2
Gene::26036,ZNF451
Gene::388698,FLG2
Gene::200523,SPMIP9
Gene::10904,BLCAP
Gene::347902,AMIGO2
Gene::6231,RPS26
Gene::9791,PTDSS1
Gene::1907,EDN2
Gene::56654,NPDC1
Gene::10921,RNPS1
Gene::90141,EFCAB11
Gene::840,CASP7
Gene::8896,BUD31
Gene::26333,OR7A17
Gene::10140,TOB1
Gene::56910,STARD7
Gene::116931,MED12L
Gene::387763,C11orf96
Gene::11231,SEC63
Gene::3689,ITGB2
Gene::254263,CNIH2
Gene::150737,IFT70B
Gene::8204,NRIP1
Gene::3297,HSF1
Gene::54899,PXK
Gene::112802,KRT71
Gene::6117,RPA1
Gene::3305,HSPA1L
Gene::932,MS4A3
Gene::3800,KIF5C
Gene::64121,RRAGC
Gene::2202,EFEMP1
Gene::905,CCNT2
Gene::6129,RPL7
Gene::1211,CLTA
Gene::720,C4A
Gene::124626,ZPBP2
Gene::83743,GRWD1
Gene::6311,ATXN2
Gene::91283,MSANTD3
Gene::323,APBB2
Gene::120379,PIH1D2
Gene::26225,ARL5A
Gene::80745,THUMPD2
Gene::23352,UBR4
Gene::4940,OAS3
Gene::84640,USP38
Gene::2313,FLI1
Gene::79005,SCNM1
Gene::29947,DNMT3L
Gene::51377,UCHL5
Gene::8525,DGKZ
Gene::79414,LRFN3
Gene::10244,RABEPK
Gene::23424,TDRD7
Gene::114932,MRFAP1L1
Gene::79872,CBLL1
Gene::4968,OGG1
Gene::9905,SGSM2
Gene::84873,ADGRG7
Gene::9603,NFE2L3
Gene::22924,MAPRE3
Gene::84962,AJUBA
Gene::222584,FAM83B
Gene::85015,USP45
Gene::9588,PRDX6
Gene::7051,TGM1
Gene::6356,CCL11
Gene::128486,FITM2
Gene::200424,TET3
Gene::4617,MYF5
Gene::230,ALDOC
Gene::120066,OR5P3
Gene::25978,CHMP2B
Gene::51660,MPC1
Gene::3605,IL17A
Gene::2697,GJA1
Gene::998,CDC42
Gene::192286,HIGD2A
Gene::339122,RAB43
Gene::7528,YY1
Gene::1656,DDX6
Gene::5277,PIGA
Gene::9147,NEMF
Gene::3115,HLA-DPB1
Gene::8811,GALR2
Gene::4610,MYCL
Gene::27232,GNMT
Gene::2664,GDI1
Gene::8315,BRAP
Gene::375318,AQP12A
Gene::51379,CRLF3
Gene::100128927,ZBTB42
Gene::285643,KIF4B
Gene::9782,MATR3
Gene::26048,ZNF500
Gene::9509,ADAMTS2
Gene::10262,SF3B4
Gene::8395,PIP5K1B
Gene::81556,INTS14
Gene::390326,OR6C76
Gene::57473,ZNF512B
Gene::54206,ERRFI1
Gene::65010,SLC26A6
Gene::10392,NOD1
Gene::51529,ANAPC11
Gene::6895,TARBP2
Gene::79084,WDR77
Gene::57649,PHF12
Gene::51088,KLHL5
Gene::2534,FYN
Gene::56949,XAB2
Gene::56853,CELF4
Gene::161582,DNAAF4
Gene::54941,RNF125
Gene::6272,SORT1
Gene::54457,TAF7L
Gene::79982,DNAJB14
Gene::29978,UBQLN2
Gene::10803,CCR9
Gene::9039,UBA3
Gene::79295,OR5H6
Gene::51693,TRAPPC2L
Gene::80143,SIKE1
Gene::54468,MIOS
Gene::6703,SPRR2D
Gene::23341,DNAJC16
Gene::64795,RMND5A
Gene::8287,USP9Y
Gene::1073,CFL2
Gene::388015,RTL1
Gene::441864,TARM1
Gene::29893,PSMC3IP
Gene::4904,YBX1
Gene::525,ATP6V1B1
Gene::6202,RPS8
Gene::10434,LYPLA1
Gene::10409,BASP1
Gene::123745,PLA2G4E
Gene::64960,MRPS15
Gene::117166,WFIKKN1
Gene::5608,MAP2K6
Gene::57520,HECW2
Gene::2358,FPR2
Gene::337876,CHSY3
Gene::27292,DIMT1
Gene::54875,CNTLN
Gene::11073,TOPBP1
Gene::11232,POLG2
Gene::54935,DUSP23
Gene::26127,FGFR1OP2
Gene::84056,KATNAL1
Gene::10277,UBE4B
Gene::984,CDK11B
Gene::91392,ZNF502
Gene::56479,KCNQ5
Gene::84364,ARFGAP2
Gene::55069,TMEM248
Gene::23369,PUM2
Gene::1114,CHGB
Gene::1290,COL5A2
Gene::80258,EFHC2
Gene::3815,KIT
Gene::4125,MAN2B1
Gene::56995,TULP4
Gene::90355,MACIR
Gene::5130,PCYT1A
Gene::6556,SLC11A1
Gene::29763,PACSIN3
Gene::221692,PHACTR1
Gene::2100,ESR2
Gene::54778,RNF111
Gene::5972,REN
Gene::10891,PPARGC1A
Gene::23243,ANKRD28
Gene::338398,TAS2R60
Gene::283899,INO80E
Gene::10758,TRAF3IP2
Gene::342357,ZKSCAN2
Gene::1272,CNTN1
Gene::5089,PBX2
Gene::660,BMX
Gene::3551,IKBKB
Gene::3985,LIMK2
Gene::85364,ZCCHC3
Gene::11344,TWF2
Gene::333929,SNAI3
Gene::84191,CIAO2A
Gene::10174,SORBS3
Gene::1915,EEF1A1
Gene::84446,BRSK1
Gene::54596,L1TD1
Gene::258010,SVIP
Gene::5264,PHYH
Gene::440387,CTRB2
Gene::80380,PDCD1LG2
Gene::219869,OR10G8
Gene::55556,ENOSF1
Gene::8317,CDC7
Gene::732,C8B
Gene::4179,CD46
Gene::10290,SPEG
Gene::54476,RNF216
Gene::286499,FAM133A
Gene::4625,MYH7
Gene::197,AHSG
Gene::8001,GLRA3
Gene::8557,TCAP
Gene::80854,SETD7
Gene::586,BCAT1
Gene::27288,RBMXL2
Gene::7476,WNT7A
Gene::11343,MGLL
Gene::140825,NEURL2
Gene::10248,POP7
Gene::2519,FUCA2
Gene::152,ADRA2C
Gene::286451,YIPF6
Gene::51176,LEF1
Gene::5032,P2RY11
Gene::85300,ATCAY
Gene::23363,OBSL1
Gene::7358,UGDH
Gene::6289,SAA2
Gene::55,ACP3
Gene::64902,AGXT2
Gene::6386,SDCBP
Gene::51585,PCF11
Gene::1815,DRD4
Gene::127062,OR2M3
Gene::64768,IPPK
Gene::22796,COG2
Gene::49854,ZBTB21
Gene::283106,CSNK2A3
Gene::11177,BAZ1A
Gene::2254,FGF9
Gene::8766,RAB11A
Gene::10675,CSPG5
Gene::23539,SLC16A8
Gene::10505,SEMA4F
Gene::134864,TAAR1
Gene::54806,AHI1
Gene::6455,SH3GL1
Gene::10284,SAP18
Gene::7026,NR2F2
Gene::54505,DHX29
Gene::3676,ITGA4
Gene::7307,U2AF1
Gene::51706,CYB5R1
Gene::151647,TAFA4
Gene::7010,TEK
Gene::10940,POP1
Gene::115939,TSR3
Gene::5494,PPM1A
Gene::23012,STK38L
Gene::26002,MOXD1
Gene::1281,COL3A1
Gene::140691,TRIM69
Gene::59348,ZNF350
Gene::9607,CARTPT
Gene::2260,FGFR1
Gene::11014,KDELR2
Gene::1266,CNN3
Gene::267020,ATP5MGL
Gene::6183,MRPS12
Gene::29082,CHMP4A
Gene::9413,ENTREP1
Gene::3191,HNRNPL
Gene::79188,TMEM43
Gene::375323,LHFPL4
Gene::84419,C15orf48
Gene::353,APRT
Gene::4194,MDM4
Gene::6863,TAC1
Gene::283189,OR9G4
Gene::8732,RNGTT
Gene::23205,ACSBG1
Gene::16,AARS1
Gene::80028,FBXL18
Gene::1230,CCR1
Gene::51266,CLEC1B
Gene::9843,HEPH
Gene::79897,RPP21
Gene::29883,CNOT7
Gene::258,AMBN
Gene::26189,OR1A2
Gene::80323,CCDC68
Gene::3223,HOXC6
Gene::55603,TENT5A
Gene::7941,PLA2G7
Gene::51253,MRPL37
Gene::7174,TPP2
Gene::5685,PSMA4
Gene::124857,WFIKKN2
Gene::8337,H2AC18
Gene::220136,CFAP53
Gene::9131,AIFM1
Gene::7716,VEZF1
Gene::54546,RNF186
Gene::28958,COA3
Gene::9637,FEZ2
Gene::5694,PSMB6
Gene::1831,TSC22D3
Gene::22982,DIP2C
Gene::51291,GMIP
Gene::10056,FARSB
Gene::3476,IGBP1
Gene::54793,KCTD9
Gene::10533,ATG7
Gene::1072,CFL1
Gene::7275,TUB
Gene::26146,TRAF3IP1
Gene::23395,LARS2
Gene::8562,DENR
Gene::10189,ALYREF
Gene::259293,TAS2R30
Gene::1967,EIF2B1
Gene::80208,SPG11
Gene::7204,TRIO
Gene::220929,ZNF438
Gene::9236,CCPG1
Gene::387733,IFITM5
Gene::64216,TFB2M
Gene::467,ATF3
Gene::113220,KIF12
Gene::390066,OR52D1
Gene::9891,NUAK1
Gene::4173,MCM4
Gene::6648,SOD2
Gene::338657,CENATAC
Gene::55288,RHOT1
Gene::654483,BOLA2B
Gene::440275,EIF2AK4
Gene::6811,STX5
Gene::140902,R3HDML
Gene::113130,CDCA5
Gene::6874,TAF4
Gene::4882,NPR2
Gene::132724,TMPRSS11B
Gene::55504,TNFRSF19
Gene::344838,PAQR9
Gene::8022,LHX3
Gene::64147,KIF9
Gene::6277,S100A6
Gene::53349,ZFYVE1
Gene::9410,SNRNP40
Gene::195827,PRXL2C
Gene::8613,PLPP3
Gene::23125,CAMTA2
Gene::254170,FBXO33
Gene::3376,IARS1
Gene::643226,GRXCR2
Gene::6004,RGS16
Gene::25906,ANAPC15
Gene::9915,ARNT2
Gene::4286,MITF
Gene::55832,CAND1
Gene::6167,RPL37
Gene::81127,OR4K15
Gene::5087,PBX1
Gene::593,BCKDHA
Gene::85366,MYLK2
Gene::64411,ARAP3
Gene::6844,VAMP2
Gene::50813,COPS7A
Gene::25853,DCAF12
Gene::396,ARHGDIA
Gene::229,ALDOB
Gene::26999,CYFIP2
Gene::114822,RHPN1
Gene::2068,ERCC2
Gene::7126,TNFAIP1
Gene::57143,ADCK1
Gene::6049,RNF6
Gene::5286,PIK3C2A
Gene::4324,MMP15
Gene::85013,TMEM128
Gene::29950,SERTAD1
Gene::2549,GAB1
Gene::10427,SEC24B
Gene::85301,COL27A1
Gene::282775,OR5J2
Gene::645745,MT1HL1
Gene::93664,CADPS2
Gene::122011,CSNK1A1L
Gene::1464,CSPG4
Gene::57476,GRAMD1B
Gene::4534,MTM1
Gene::118738,ZNF488
Gene::11173,ADAMTS7
Gene::9283,GPR37L1
Gene::57616,TSHZ3
Gene::84330,ZNF414
Gene::23150,FRMD4B
Gene::6440,SFTPC
Gene::8945,BTRC
Gene::51062,ATL1
Gene::284119,CAVIN1
Gene::55175,KLHL11
Gene::83597,RTP3
Gene::4673,NAP1L1
Gene::23640,HSPBP1
Gene::10572,SIVA1
Gene::1512,CTSH
Gene::4809,SNU13
Gene::79006,METRN
Gene::773,CACNA1A
Gene::137682,NDUFAF6
Gene::27301,APEX2
Gene::10633,RASL10A
Gene::65125,WNK1
Gene::9972,NUP153
Gene::3706,ITPKA
Gene::140545,RNF32
Gene::29796,UQCR10
Gene::3747,KCNC2
Gene::388341,LRRC75A
Gene::2798,GNRHR
Gene::6897,TARS1
Gene::54620,FBXL19
Gene::2153,F5
Gene::397,ARHGDIB
Gene::219402,MTIF3
Gene::9015,TAF1A
Gene::55746,NUP133
Gene::51132,RLIM
Gene::90952,ESAM
Gene::2932,GSK3B
Gene::94134,ARHGAP12
Gene::9128,PRPF4
Gene::2770,GNAI1
Gene::201973,PRIMPOL
Gene::56133,PCDHB2
Gene::29960,MRM2
Gene::4836,NMT1
Gene::390190,OR5B2
Gene::353497,POLN
Gene::26064,RAI14
Gene::958,CD40
Gene::146057,TTBK2
Gene::149428,BNIPL
Gene::51460,SFMBT1
Gene::7328,UBE2H
Gene::4283,CXCL9
Gene::341799,OR6S1
Gene::112574,SNX18
Gene::6314,ATXN7
Gene::54856,GON4L
Gene::8292,COLQ
Gene::2952,GSTT1
Gene::79072,FASTKD3
Gene::55095,SAMD4B
Gene::51347,TAOK3
Gene::5801,PTPRR
Gene::50650,ARHGEF3
Gene::30827,CXXC1
Gene::55008,HERC6
Gene::256949,KANK3
Gene::401993,OR2T5
Gene::57379,AICDA
Gene::2122,MECOM
Gene::5229,PGGT1B
Gene::6519,SLC3A1
Gene::79596,OBI1
Gene::10795,ZNF268
Gene::1201,CLN3
Gene::55509,BATF3
Gene::124602,KIF19
Gene::286128,ZFP41
Gene::56129,PCDHB7
Gene::23505,TMEM131
Gene::115557,ARHGEF25
Gene::9909,DENND4B
Gene::348262,MCRIP1
Gene::4108,MAGEA9
Gene::1300,COL10A1
Gene::8743,TNFSF10
Gene::406913,MIR126
Gene::286148,DPY19L4
Gene::10732,TCFL5
Gene::5055,SERPINB2
Gene::55534,MAML3
Gene::55750,AGK
Gene::26960,NBEA
Gene::4702,NDUFA8
Gene::80021,TMEM62
Gene::81605,URM1
Gene::6651,SON
Gene::27072,VPS41
Gene::54583,EGLN1
Gene::2081,ERN1
Gene::5459,POU4F3
Gene::7025,NR2F1
Gene::23386,NUDCD3
Gene::845,CASQ2
Gene::2872,MKNK2
Gene::27032,ATP2C1
Gene::1511,CTSG
Gene::9528,TMEM59
Gene::29888,STRN4
Gene::7201,TRHR
Gene::23344,ESYT1
Gene::221830,POLR1F
Gene::9701,PPP6R2
