#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAK1	STK11	9606.ENSP00000386456	9606.ENSP00000324856	0	0	0	0.576	0	0.046	0	0.428	0.431
CIT	CLASP1	9606.ENSP00000376306	9606.ENSP00000263710	0	0	0.222	0	0.054	0.292	0	0.080	0.456
CIT	TPX2	9606.ENSP00000376306	9606.ENSP00000300403	0	0	0	0	0.256	0.292	0	0.074	0.470
CIT	ROCK2	9606.ENSP00000376306	9606.ENSP00000317985	0	0	0	0.654	0.042	0.095	0.400	0.225	0.542
CIT	RAE1	9606.ENSP00000376306	9606.ENSP00000379181	0	0	0	0	0.055	0.292	0	0.318	0.503
CIT	MYO9B	9606.ENSP00000376306	9606.ENSP00000471457	0	0	0	0	0.112	0.292	0.400	0	0.589
CLASP1	MAPRE3	9606.ENSP00000263710	9606.ENSP00000233121	0	0	0	0	0.048	0.175	0	0.635	0.688
CLASP1	CIT	9606.ENSP00000263710	9606.ENSP00000376306	0	0	0.222	0	0.054	0.292	0	0.080	0.456
CLASP1	RAB3IP	9606.ENSP00000263710	9606.ENSP00000447300	0	0	0	0	0.049	0	0.500	0	0.504
CNTLN	NUP85	9606.ENSP00000370021	9606.ENSP00000245544	0	0	0	0	0	0	0	0.784	0.784
CNTLN	PLK4	9606.ENSP00000370021	9606.ENSP00000270861	0	0	0	0	0.076	0	0	0.849	0.854
CNTLN	NINL	9606.ENSP00000370021	9606.ENSP00000278886	0	0	0	0	0.042	0.155	0	0.507	0.566
CNTLN	PCM1	9606.ENSP00000370021	9606.ENSP00000327077	0	0	0	0	0.056	0.166	0	0.542	0.607
CNTLN	CEP63	9606.ENSP00000370021	9606.ENSP00000336524	0	0	0	0	0.049	0	0	0.587	0.590
CNTLN	NEK2	9606.ENSP00000370021	9606.ENSP00000355966	0	0	0	0	0.053	0	0	0.652	0.656
CREBBP	SERPINE1	9606.ENSP00000262367	9606.ENSP00000223095	0	0	0	0	0	0	0	0.501	0.501
CREBBP	NSD2	9606.ENSP00000262367	9606.ENSP00000372351	0	0	0	0	0.070	0.091	0	0.389	0.438
CREBBP	NUP214	9606.ENSP00000262367	9606.ENSP00000352400	0	0	0	0	0.278	0	0	0.278	0.457
CREBBP	SMAD1	9606.ENSP00000262367	9606.ENSP00000305769	0	0	0	0	0.055	0.642	0	0.407	0.782
CREBBP	NUP98	9606.ENSP00000262367	9606.ENSP00000316032	0	0	0	0	0.157	0.510	0	0.588	0.815
CREBBP	LEF1	9606.ENSP00000262367	9606.ENSP00000265165	0	0	0	0	0.045	0.125	0.900	0.594	0.961
CWC27	RBM22	9606.ENSP00000370460	9606.ENSP00000199814	0	0	0	0	0.093	0.896	0	0.444	0.943
CWC27	UPF3B	9606.ENSP00000370460	9606.ENSP00000276201	0	0	0	0	0.221	0	0.400	0.184	0.585
CWC27	PPIL3	9606.ENSP00000370460	9606.ENSP00000286175	0	0	0.101	0.800	0.097	0.099	0.800	0.135	0.850
DCAF7	UBE2M	9606.ENSP00000483236	9606.ENSP00000253023	0	0	0	0	0.055	0	0.500	0	0.507
DCAF7	LONP2	9606.ENSP00000483236	9606.ENSP00000285737	0	0	0	0	0.042	0	0.400	0	0.400
DCAF7	ZNF703	9606.ENSP00000483236	9606.ENSP00000332325	0	0	0	0	0	0.524	0	0.449	0.726
DCAF7	AUTS2	9606.ENSP00000483236	9606.ENSP00000344087	0	0	0	0	0.060	0.788	0	0.391	0.868
DDX10	NUP214	9606.ENSP00000314348	9606.ENSP00000352400	0	0	0	0	0.062	0.178	0	0.490	0.572
DDX10	GCC1	9606.ENSP00000314348	9606.ENSP00000318821	0	0	0	0	0.566	0.060	0	0.052	0.580
DDX10	NUP98	9606.ENSP00000314348	9606.ENSP00000316032	0	0	0	0	0.066	0.092	0	0.825	0.839
DDX10	AATF	9606.ENSP00000314348	9606.ENSP00000477848	0	0	0	0	0.888	0.281	0	0.527	0.958
DNAJC11	TOMM70	9606.ENSP00000366800	9606.ENSP00000284320	0	0	0	0	0.118	0.061	0.720	0.280	0.810
DNMT3B	NSD2	9606.ENSP00000328547	9606.ENSP00000372351	0	0	0	0	0.137	0	0	0.454	0.508
ECSIT	ACAD9	9606.ENSP00000270517	9606.ENSP00000312618	0	0	0	0	0.118	0.994	0.800	0.989	0.999
EMC10	FAM8A1	9606.ENSP00000334037	9606.ENSP00000259963	0	0	0	0	0	0	0	0.489	0.489
ERP44	FKBP7	9606.ENSP00000262455	9606.ENSP00000413152	0	0	0	0	0.067	0.098	0	0.370	0.423
FAM8A1	EMC10	9606.ENSP00000259963	9606.ENSP00000334037	0	0	0	0	0	0	0	0.489	0.489
FBXW8	UBE2M	9606.ENSP00000498999	9606.ENSP00000253023	0	0	0	0	0	0	0.500	0.133	0.547
FKBP10	CALU	9606.ENSP00000317232	9606.ENSP00000438248	0	0	0	0	0.172	0.248	0	0.308	0.531
FKBP7	ERP44	9606.ENSP00000413152	9606.ENSP00000262455	0	0	0	0	0.067	0.098	0	0.370	0.423
FKBP7	PPIL3	9606.ENSP00000413152	9606.ENSP00000286175	0.041	0	0	0	0.073	0.095	0	0.345	0.403
GCC1	DDX10	9606.ENSP00000318821	9606.ENSP00000314348	0	0	0	0	0.566	0.060	0	0.052	0.580
GCC1	AATF	9606.ENSP00000318821	9606.ENSP00000477848	0	0	0	0	0.601	0.786	0	0.203	0.926
GIGYF2	UBAP2L	9606.ENSP00000387170	9606.ENSP00000389445	0	0	0	0	0.345	0.046	0	0.166	0.434
GNB1L	RTN4R	9606.ENSP00000331313	9606.ENSP00000043402	0	0	0	0	0.083	0.059	0	0.389	0.426
GOLGA7B	ZDHHC5	9606.ENSP00000359634	9606.ENSP00000287169	0	0	0	0	0.047	0.787	0	0.602	0.912
HMOX1	SERPINE1	9606.ENSP00000216117	9606.ENSP00000223095	0	0	0	0	0.073	0	0	0.626	0.638
ISG15	UBE2M	9606.ENSP00000496832	9606.ENSP00000253023	0	0	0	0	0.049	0.114	0	0.353	0.408
ISG15	USP13	9606.ENSP00000496832	9606.ENSP00000263966	0	0	0	0	0.058	0.237	0	0.350	0.492
ISG15	RPL36A	9606.ENSP00000496832	9606.ENSP00000404375	0	0	0	0	0.202	0.374	0	0.125	0.524
ITGA5	SKAP2	9606.ENSP00000293379	9606.ENSP00000005587	0	0	0	0	0	0	0.900	0	0.900
ITGA5	SERPINE1	9606.ENSP00000293379	9606.ENSP00000223095	0	0	0	0	0.310	0	0	0.393	0.564
ITGA5	ITGB6	9606.ENSP00000293379	9606.ENSP00000283249	0	0	0	0	0.067	0.135	0.900	0.578	0.961
ITGA5	ANGPTL3	9606.ENSP00000293379	9606.ENSP00000360170	0	0	0	0	0	0	0	0.513	0.513
ITGB6	ITGA5	9606.ENSP00000283249	9606.ENSP00000293379	0	0	0	0	0.067	0.135	0.900	0.578	0.961
LEF1	CREBBP	9606.ENSP00000265165	9606.ENSP00000262367	0	0	0	0	0.045	0.125	0.900	0.594	0.961
LEF1	PORCN	9606.ENSP00000265165	9606.ENSP00000322304	0	0	0	0	0	0	0	0.418	0.418
LEF1	SMAD1	9606.ENSP00000265165	9606.ENSP00000305769	0	0	0	0	0.053	0.336	0	0.182	0.440
LONP2	DCAF7	9606.ENSP00000285737	9606.ENSP00000483236	0	0	0	0	0.042	0	0.400	0	0.400
LONP2	TUFM	9606.ENSP00000285737	9606.ENSP00000322439	0.111	0	0	0	0.114	0	0	0.421	0.504
MAIP1	TIMM10B	9606.ENSP00000295079	9606.ENSP00000254616	0	0	0	0	0.101	0	0	0.366	0.406
MAPRE3	CLASP1	9606.ENSP00000233121	9606.ENSP00000263710	0	0	0	0	0.048	0.175	0	0.635	0.688
MIB1	PCM1	9606.ENSP00000261537	9606.ENSP00000327077	0	0	0	0	0.062	0.784	0	0.240	0.832
MRPS25	SIL1	9606.ENSP00000253686	9606.ENSP00000265195	0	0	0	0	0.138	0.476	0	0.064	0.540
MRPS25	TUFM	9606.ENSP00000253686	9606.ENSP00000322439	0	0	0	0	0.229	0.809	0.500	0	0.920
MYCBP2	SPSB4	9606.ENSP00000444596	9606.ENSP00000311609	0	0	0	0	0	0.404	0	0.245	0.530
MYCBP2	RAE1	9606.ENSP00000444596	9606.ENSP00000379181	0	0	0	0	0.044	0.487	0	0.371	0.665
MYO9B	ROCK2	9606.ENSP00000471457	9606.ENSP00000317985	0	0	0	0	0.082	0.078	0.436	0.143	0.537
MYO9B	CIT	9606.ENSP00000471457	9606.ENSP00000376306	0	0	0	0	0.112	0.292	0.400	0	0.589
NEK2	PLK4	9606.ENSP00000355966	9606.ENSP00000270861	0	0	0	0.652	0.512	0	0	0.285	0.636
NEK2	NINL	9606.ENSP00000355966	9606.ENSP00000278886	0	0	0	0	0.047	0.056	0	0.480	0.492
NEK2	TPX2	9606.ENSP00000355966	9606.ENSP00000300403	0	0	0	0	0.818	0	0	0.696	0.942
NEK2	NUP98	9606.ENSP00000355966	9606.ENSP00000316032	0	0	0	0	0.104	0	0	0.484	0.517
NEK2	RAB3IP	9606.ENSP00000355966	9606.ENSP00000447300	0	0	0	0	0.042	0	0.500	0.160	0.562
NEK2	CNTLN	9606.ENSP00000355966	9606.ENSP00000370021	0	0	0	0	0.053	0	0	0.652	0.656
NEK9	NUP58	9606.ENSP00000238616	9606.ENSP00000371155	0	0	0	0	0.070	0	0.400	0.048	0.422
NEK9	NUP85	9606.ENSP00000238616	9606.ENSP00000245544	0	0	0	0	0.074	0	0.400	0.100	0.456
NEK9	NUP214	9606.ENSP00000238616	9606.ENSP00000352400	0	0	0	0	0.060	0.070	0.400	0.089	0.458
NEK9	NUP88	9606.ENSP00000238616	9606.ENSP00000458954	0	0	0	0	0.067	0	0.400	0.116	0.462
NEK9	NUP98	9606.ENSP00000238616	9606.ENSP00000316032	0	0	0	0	0.060	0.047	0.400	0.200	0.513
NEK9	RAE1	9606.ENSP00000238616	9606.ENSP00000379181	0	0	0	0	0.042	0.098	0.400	0.216	0.539
NINL	PLK4	9606.ENSP00000278886	9606.ENSP00000270861	0	0	0	0	0.055	0	0	0.429	0.437
NINL	NEK2	9606.ENSP00000278886	9606.ENSP00000355966	0	0	0	0	0.047	0.056	0	0.480	0.492
NINL	RAB3IP	9606.ENSP00000278886	9606.ENSP00000447300	0	0	0	0	0	0.062	0.500	0.101	0.541
NINL	CNTLN	9606.ENSP00000278886	9606.ENSP00000370021	0	0	0	0	0.042	0.155	0	0.507	0.566
NSD2	CREBBP	9606.ENSP00000372351	9606.ENSP00000262367	0	0	0	0	0.070	0.091	0	0.389	0.438
NSD2	NUP98	9606.ENSP00000372351	9606.ENSP00000316032	0	0	0	0	0.071	0.053	0	0.430	0.456
NSD2	DNMT3B	9606.ENSP00000372351	9606.ENSP00000328547	0	0	0	0	0.137	0	0	0.454	0.508
NUP210L	NUP85	9606.ENSP00000357547	9606.ENSP00000245544	0	0	0	0	0.102	0	0	0.442	0.477
NUP210L	NUP98	9606.ENSP00000357547	9606.ENSP00000316032	0	0	0	0	0.060	0.110	0	0.383	0.439
NUP210L	NUP214	9606.ENSP00000357547	9606.ENSP00000352400	0	0	0	0	0.086	0	0	0.393	0.421
NUP210L	NUP62CL	9606.ENSP00000357547	9606.ENSP00000361544	0	0	0	0	0.045	0	0	0.498	0.500
NUP214	NEK9	9606.ENSP00000352400	9606.ENSP00000238616	0	0	0	0	0.060	0.070	0.400	0.089	0.458
NUP214	NUP85	9606.ENSP00000352400	9606.ENSP00000245544	0	0	0	0	0.054	0.982	0.800	0.789	0.999
NUP214	CREBBP	9606.ENSP00000352400	9606.ENSP00000262367	0	0	0	0	0.278	0	0	0.278	0.457
NUP214	UPF3B	9606.ENSP00000352400	9606.ENSP00000276201	0	0	0	0	0.076	0.067	0.500	0.085	0.552
NUP214	SMAD1	9606.ENSP00000352400	9606.ENSP00000305769	0	0	0	0	0	0.292	0	0.552	0.669
NUP214	DDX10	9606.ENSP00000352400	9606.ENSP00000314348	0	0	0	0	0.062	0.178	0	0.490	0.572
NUP214	NUP98	9606.ENSP00000352400	9606.ENSP00000316032	0	0	0	0.547	0.117	0.993	0.500	0.820	0.999
NUP214	SON	9606.ENSP00000352400	9606.ENSP00000348984	0	0	0	0	0.163	0.126	0	0.295	0.439
NUP214	NUP210L	9606.ENSP00000352400	9606.ENSP00000357547	0	0	0	0	0.086	0	0	0.393	0.421
NUP214	UBAP2L	9606.ENSP00000352400	9606.ENSP00000389445	0	0	0.245	0	0.307	0	0	0	0.454
NUP214	RUNX1T1	9606.ENSP00000352400	9606.ENSP00000402257	0	0	0	0	0.058	0	0	0.583	0.590
NUP214	NUP62CL	9606.ENSP00000352400	9606.ENSP00000361544	0	0	0	0	0.086	0.781	0	0.418	0.873
NUP214	RAE1	9606.ENSP00000352400	9606.ENSP00000379181	0	0	0	0	0.049	0.829	0.800	0.803	0.992
NUP214	NUP58	9606.ENSP00000352400	9606.ENSP00000371155	0	0	0	0	0.136	0.969	0.500	0.805	0.997
NUP214	NUP88	9606.ENSP00000352400	9606.ENSP00000458954	0	0	0	0	0.101	0.993	0.900	0.998	0.999
NUP58	NEK9	9606.ENSP00000371155	9606.ENSP00000238616	0	0	0	0	0.070	0	0.400	0.048	0.422
NUP58	NUP85	9606.ENSP00000371155	9606.ENSP00000245544	0	0	0	0	0.124	0.908	0.500	0.790	0.990
NUP58	UPF3B	9606.ENSP00000371155	9606.ENSP00000276201	0	0	0	0	0.067	0	0.500	0.068	0.527
NUP58	NUP98	9606.ENSP00000371155	9606.ENSP00000316032	0	0	0	0	0.296	0.904	0.500	0.809	0.992
NUP58	NUP214	9606.ENSP00000371155	9606.ENSP00000352400	0	0	0	0	0.136	0.969	0.500	0.805	0.997
NUP58	NUP62CL	9606.ENSP00000371155	9606.ENSP00000361544	0	0	0	0	0.048	0.627	0	0.225	0.701
NUP58	RAE1	9606.ENSP00000371155	9606.ENSP00000379181	0	0	0	0	0.088	0.409	0.500	0.382	0.811
NUP58	NUP88	9606.ENSP00000371155	9606.ENSP00000458954	0	0	0	0	0.109	0.878	0.500	0.795	0.987
NUP62CL	NUP85	9606.ENSP00000361544	9606.ENSP00000245544	0	0	0	0	0.110	0.562	0	0.264	0.688
NUP62CL	NUP98	9606.ENSP00000361544	9606.ENSP00000316032	0	0	0	0	0.089	0.632	0	0.440	0.795
NUP62CL	NUP214	9606.ENSP00000361544	9606.ENSP00000352400	0	0	0	0	0.086	0.781	0	0.418	0.873
NUP62CL	NUP210L	9606.ENSP00000361544	9606.ENSP00000357547	0	0	0	0	0.045	0	0	0.498	0.500
NUP62CL	RAE1	9606.ENSP00000361544	9606.ENSP00000379181	0	0	0	0	0.069	0.409	0	0.115	0.471
NUP62CL	NUP58	9606.ENSP00000361544	9606.ENSP00000371155	0	0	0	0	0.048	0.627	0	0.225	0.701
NUP62CL	NUP88	9606.ENSP00000361544	9606.ENSP00000458954	0	0	0	0	0.044	0.661	0	0.433	0.800
NUP85	NEK9	9606.ENSP00000245544	9606.ENSP00000238616	0	0	0	0	0.074	0	0.400	0.100	0.456
NUP85	NUP210L	9606.ENSP00000245544	9606.ENSP00000357547	0	0	0	0	0.102	0	0	0.442	0.477
NUP85	UPF3B	9606.ENSP00000245544	9606.ENSP00000276201	0	0	0	0	0.053	0	0.500	0	0.506
NUP85	PCM1	9606.ENSP00000245544	9606.ENSP00000327077	0	0	0	0	0.049	0	0	0.548	0.551
NUP85	NUP62CL	9606.ENSP00000245544	9606.ENSP00000361544	0	0	0	0	0.110	0.562	0	0.264	0.688
NUP85	CNTLN	9606.ENSP00000245544	9606.ENSP00000370021	0	0	0	0	0	0	0	0.784	0.784
NUP85	RAE1	9606.ENSP00000245544	9606.ENSP00000379181	0	0	0	0	0.336	0.245	0.800	0.647	0.959
NUP85	NUP58	9606.ENSP00000245544	9606.ENSP00000371155	0	0	0	0	0.124	0.908	0.500	0.790	0.990
NUP85	NUP88	9606.ENSP00000245544	9606.ENSP00000458954	0	0	0	0	0.239	0.877	0.800	0.948	0.998
NUP85	NUP214	9606.ENSP00000245544	9606.ENSP00000352400	0	0	0	0	0.054	0.982	0.800	0.789	0.999
NUP85	NUP98	9606.ENSP00000245544	9606.ENSP00000316032	0	0	0	0	0.142	0.996	0.900	0.995	0.999
NUP88	NEK9	9606.ENSP00000458954	9606.ENSP00000238616	0	0	0	0	0.067	0	0.400	0.116	0.462
NUP88	NUP85	9606.ENSP00000458954	9606.ENSP00000245544	0	0	0	0	0.239	0.877	0.800	0.948	0.998
NUP88	UPF3B	9606.ENSP00000458954	9606.ENSP00000276201	0	0	0	0	0.062	0	0.500	0.078	0.529
NUP88	NUP98	9606.ENSP00000458954	9606.ENSP00000316032	0	0	0	0	0.120	0.966	0.500	0.978	0.999
NUP88	NUP214	9606.ENSP00000458954	9606.ENSP00000352400	0	0	0	0	0.101	0.993	0.900	0.998	0.999
NUP88	NUP62CL	9606.ENSP00000458954	9606.ENSP00000361544	0	0	0	0	0.044	0.661	0	0.433	0.800
NUP88	NUP58	9606.ENSP00000458954	9606.ENSP00000371155	0	0	0	0	0.109	0.878	0.500	0.795	0.987
NUP88	RAE1	9606.ENSP00000458954	9606.ENSP00000379181	0	0	0	0	0.147	0.150	0.800	0.647	0.942
NUP98	NEK9	9606.ENSP00000316032	9606.ENSP00000238616	0	0	0	0	0.060	0.047	0.400	0.200	0.513
NUP98	NUP85	9606.ENSP00000316032	9606.ENSP00000245544	0	0	0	0	0.142	0.996	0.900	0.995	0.999
NUP98	CREBBP	9606.ENSP00000316032	9606.ENSP00000262367	0	0	0	0	0.157	0.510	0	0.588	0.815
NUP98	UPF3B	9606.ENSP00000316032	9606.ENSP00000276201	0	0	0	0	0.055	0.071	0.500	0.055	0.529
NUP98	DDX10	9606.ENSP00000316032	9606.ENSP00000314348	0	0	0	0	0.066	0.092	0	0.825	0.839
NUP98	NUP210L	9606.ENSP00000316032	9606.ENSP00000357547	0	0	0	0	0.060	0.110	0	0.383	0.439
NUP98	NSD2	9606.ENSP00000316032	9606.ENSP00000372351	0	0	0	0	0.071	0.053	0	0.430	0.456
NUP98	RNF41	9606.ENSP00000316032	9606.ENSP00000342755	0	0	0	0	0.060	0	0	0.460	0.471
NUP98	RUNX1T1	9606.ENSP00000316032	9606.ENSP00000402257	0	0	0	0	0	0	0	0.475	0.475
NUP98	NEK2	9606.ENSP00000316032	9606.ENSP00000355966	0	0	0	0	0.104	0	0	0.484	0.517
NUP98	NUP62CL	9606.ENSP00000316032	9606.ENSP00000361544	0	0	0	0	0.089	0.632	0	0.440	0.795
NUP98	NUP58	9606.ENSP00000316032	9606.ENSP00000371155	0	0	0	0	0.296	0.904	0.500	0.809	0.992
NUP98	NUP214	9606.ENSP00000316032	9606.ENSP00000352400	0	0	0	0.547	0.117	0.993	0.500	0.820	0.999
NUP98	NUP88	9606.ENSP00000316032	9606.ENSP00000458954	0	0	0	0	0.120	0.966	0.500	0.978	0.999
NUP98	RAE1	9606.ENSP00000316032	9606.ENSP00000379181	0	0	0	0	0.074	0.997	0.900	0.985	0.999
PAM16	TIMM10B	9606.ENSP00000315693	9606.ENSP00000254616	0	0	0	0	0.106	0	0	0.448	0.485
PAM16	TOMM70	9606.ENSP00000315693	9606.ENSP00000284320	0	0	0	0	0	0	0	0.645	0.645
PCM1	NUP85	9606.ENSP00000327077	9606.ENSP00000245544	0	0	0	0	0.049	0	0	0.548	0.551
PCM1	MIB1	9606.ENSP00000327077	9606.ENSP00000261537	0	0	0	0	0.062	0.784	0	0.240	0.832
PCM1	PLK4	9606.ENSP00000327077	9606.ENSP00000270861	0	0	0	0	0.044	0	0	0.443	0.445
PCM1	CEP63	9606.ENSP00000327077	9606.ENSP00000336524	0	0	0	0	0.057	0.179	0	0.338	0.443
PCM1	CNTLN	9606.ENSP00000327077	9606.ENSP00000370021	0	0	0	0	0.056	0.166	0	0.542	0.607
PCM1	RAB3IP	9606.ENSP00000327077	9606.ENSP00000447300	0	0	0	0	0.049	0	0.500	0.551	0.767
PIGO	PIGT	9606.ENSP00000367880	9606.ENSP00000279036	0	0	0	0	0.060	0.063	0.900	0.840	0.984
PIGT	PIGO	9606.ENSP00000279036	9606.ENSP00000367880	0	0	0	0	0.060	0.063	0.900	0.840	0.984
PLK4	POLA2	9606.ENSP00000270861	9606.ENSP00000265465	0	0	0	0	0.410	0	0	0.129	0.464
PLK4	NINL	9606.ENSP00000270861	9606.ENSP00000278886	0	0	0	0	0.055	0	0	0.429	0.437
PLK4	PCM1	9606.ENSP00000270861	9606.ENSP00000327077	0	0	0	0	0.044	0	0	0.443	0.445
PLK4	RAB3IP	9606.ENSP00000270861	9606.ENSP00000447300	0	0	0	0	0	0	0.500	0.143	0.553
PLK4	NEK2	9606.ENSP00000270861	9606.ENSP00000355966	0	0	0	0.652	0.512	0	0	0.285	0.636
PLK4	TPX2	9606.ENSP00000270861	9606.ENSP00000300403	0	0	0	0	0.509	0	0	0.491	0.739
PLK4	CNTLN	9606.ENSP00000270861	9606.ENSP00000370021	0	0	0	0	0.076	0	0	0.849	0.854
PLK4	CEP63	9606.ENSP00000270861	9606.ENSP00000336524	0	0	0	0	0.042	0.420	0	0.837	0.902
POLA2	PLK4	9606.ENSP00000265465	9606.ENSP00000270861	0	0	0	0	0.410	0	0	0.129	0.464
POLA2	PRIM2	9606.ENSP00000265465	9606.ENSP00000484105	0	0	0	0	0.767	0.997	0.900	0.998	0.999
PORCN	LEF1	9606.ENSP00000322304	9606.ENSP00000265165	0	0	0	0	0	0	0	0.418	0.418
PPIL3	UPF3B	9606.ENSP00000286175	9606.ENSP00000276201	0	0	0	0	0.073	0	0.800	0.049	0.808
PPIL3	FKBP7	9606.ENSP00000286175	9606.ENSP00000413152	0.041	0	0	0	0.073	0.095	0	0.345	0.403
PPIL3	CWC27	9606.ENSP00000286175	9606.ENSP00000370460	0	0	0.101	0.800	0.097	0.099	0.800	0.135	0.850
PRIM2	POLA2	9606.ENSP00000484105	9606.ENSP00000265465	0	0	0	0	0.767	0.997	0.900	0.998	0.999
PRIM2	RAE1	9606.ENSP00000484105	9606.ENSP00000379181	0	0	0	0	0.101	0.602	0	0	0.627
PRRC2B	UBAP2L	9606.ENSP00000349856	9606.ENSP00000389445	0	0	0	0	0.131	0.166	0	0.443	0.561
RAB3IP	CLASP1	9606.ENSP00000447300	9606.ENSP00000263710	0	0	0	0	0.049	0	0.500	0	0.504
RAB3IP	PLK4	9606.ENSP00000447300	9606.ENSP00000270861	0	0	0	0	0	0	0.500	0.143	0.553
RAB3IP	NINL	9606.ENSP00000447300	9606.ENSP00000278886	0	0	0	0	0	0.062	0.500	0.101	0.541
RAB3IP	PCM1	9606.ENSP00000447300	9606.ENSP00000327077	0	0	0	0	0.049	0	0.500	0.551	0.767
RAB3IP	CEP63	9606.ENSP00000447300	9606.ENSP00000336524	0	0	0	0	0.044	0	0.500	0	0.501
RAB3IP	NEK2	9606.ENSP00000447300	9606.ENSP00000355966	0	0	0	0	0.042	0	0.500	0.160	0.562
RAB5C	RABGGTB	9606.ENSP00000447053	9606.ENSP00000317473	0	0	0	0	0.047	0.091	0.500	0.082	0.549
RABGGTB	RAB5C	9606.ENSP00000317473	9606.ENSP00000447053	0	0	0	0	0.047	0.091	0.500	0.082	0.549
RAE1	NEK9	9606.ENSP00000379181	9606.ENSP00000238616	0	0	0	0	0.042	0.098	0.400	0.216	0.539
RAE1	NUP85	9606.ENSP00000379181	9606.ENSP00000245544	0	0	0	0	0.336	0.245	0.800	0.647	0.959
RAE1	UPF3B	9606.ENSP00000379181	9606.ENSP00000276201	0	0	0	0	0.056	0	0.500	0.286	0.633
RAE1	NUP98	9606.ENSP00000379181	9606.ENSP00000316032	0	0	0	0	0.074	0.997	0.900	0.985	0.999
RAE1	RNF41	9606.ENSP00000379181	9606.ENSP00000342755	0	0	0	0	0.067	0	0	0.409	0.425
RAE1	NUP214	9606.ENSP00000379181	9606.ENSP00000352400	0	0	0	0	0.049	0.829	0.800	0.803	0.992
RAE1	NUP62CL	9606.ENSP00000379181	9606.ENSP00000361544	0	0	0	0	0.069	0.409	0	0.115	0.471
RAE1	NUP58	9606.ENSP00000379181	9606.ENSP00000371155	0	0	0	0	0.088	0.409	0.500	0.382	0.811
RAE1	CIT	9606.ENSP00000379181	9606.ENSP00000376306	0	0	0	0	0.055	0.292	0	0.318	0.503
RAE1	PRIM2	9606.ENSP00000379181	9606.ENSP00000484105	0	0	0	0	0.101	0.602	0	0	0.627
RAE1	MYCBP2	9606.ENSP00000379181	9606.ENSP00000444596	0	0	0	0	0.044	0.487	0	0.371	0.665
RAE1	NUP88	9606.ENSP00000379181	9606.ENSP00000458954	0	0	0	0	0.147	0.150	0.800	0.647	0.942
RBM22	AAR2	9606.ENSP00000199814	9606.ENSP00000363043	0	0	0	0	0.109	0	0	0.410	0.452
