#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABHD14A-ACY1	OPLAH	9606.ENSP00000490744	9606.ENSP00000480476	0.057	0	0	0	0	0	0.384	0.246	0.523
ATP2A2	TRDN	9606.ENSP00000440045	9606.ENSP00000333984	0	0	0	0	0.104	0.071	0	0.513	0.559
ATP2A2	NPPB	9606.ENSP00000440045	9606.ENSP00000365651	0	0	0	0	0.087	0	0	0.498	0.522
ATP2A2	TMEM64	9606.ENSP00000440045	9606.ENSP00000414786	0	0	0	0	0	0	0	0.698	0.698
ATP2A2	SLN	9606.ENSP00000440045	9606.ENSP00000435380	0	0	0	0	0.085	0.797	0	0.878	0.975
ATXN7L3B	TAF6L	9606.ENSP00000430000	9606.ENSP00000294168	0	0	0	0	0	0.399	0	0.075	0.420
AURKC	DNMT3A	9606.ENSP00000302898	9606.ENSP00000264709	0	0	0	0	0.083	0.294	0	0.266	0.483
AURKC	DPY19L2	9606.ENSP00000302898	9606.ENSP00000315988	0	0	0	0	0	0	0	0.682	0.682
AXIN1	CSK	9606.ENSP00000262320	9606.ENSP00000220003	0	0	0	0	0.131	0.127	0	0.469	0.562
AXIN1	SFRP1	9606.ENSP00000262320	9606.ENSP00000220772	0	0	0	0	0.053	0	0	0.630	0.635
AXIN1	KRAS	9606.ENSP00000262320	9606.ENSP00000256078	0	0	0	0	0.049	0	0	0.478	0.482
AXIN1	BMP2	9606.ENSP00000262320	9606.ENSP00000368104	0	0	0	0	0	0.046	0	0.405	0.408
AXIN1	FOXO1	9606.ENSP00000262320	9606.ENSP00000368880	0	0	0	0	0	0	0	0.413	0.413
AXIN1	NLK	9606.ENSP00000262320	9606.ENSP00000384625	0	0	0	0	0.067	0.079	0	0.491	0.524
AXIN1	WNT9B	9606.ENSP00000262320	9606.ENSP00000290015	0	0	0	0	0.053	0.068	0	0.517	0.536
AXIN1	SHH	9606.ENSP00000262320	9606.ENSP00000297261	0	0	0	0	0	0	0	0.626	0.626
AXIN1	MAP3K4	9606.ENSP00000262320	9606.ENSP00000375986	0	0	0	0	0.095	0.345	0	0.494	0.674
AZI2	TNF	9606.ENSP00000419371	9606.ENSP00000398698	0	0	0	0	0	0.994	0	0.158	0.994
BCHE	LRTOMT	9606.ENSP00000264381	9606.ENSP00000305742	0	0	0	0	0.055	0	0	0.417	0.426
BCHE	TNF	9606.ENSP00000264381	9606.ENSP00000398698	0	0	0	0	0	0	0	0.450	0.450
BCHE	NGF	9606.ENSP00000264381	9606.ENSP00000358525	0	0	0	0	0	0	0	0.454	0.454
BEX1	NGF	9606.ENSP00000361813	9606.ENSP00000358525	0	0	0	0	0	0	0	0.506	0.506
BEX1	BEX5	9606.ENSP00000361813	9606.ENSP00000446054	0	0	0	0.845	0.128	0	0	0.441	0.492
BEX5	BEX1	9606.ENSP00000446054	9606.ENSP00000361813	0	0	0	0.845	0.128	0	0	0.441	0.492
BICRA	LGI1	9606.ENSP00000379946	9606.ENSP00000360472	0	0	0	0	0	0	0	0.491	0.491
BMP2	FSTL3	9606.ENSP00000368104	9606.ENSP00000166139	0	0	0	0	0.067	0.113	0	0.687	0.719
BMP2	SFRP1	9606.ENSP00000368104	9606.ENSP00000220772	0	0	0	0	0.067	0	0	0.450	0.465
BMP2	FGF23	9606.ENSP00000368104	9606.ENSP00000237837	0	0	0	0	0.051	0	0	0.415	0.422
BMP2	AXIN1	9606.ENSP00000368104	9606.ENSP00000262320	0	0	0	0	0	0.046	0	0.405	0.408
BMP2	SHH	9606.ENSP00000368104	9606.ENSP00000297261	0	0	0	0	0	0.106	0	0.820	0.832
BMP2	SOX17	9606.ENSP00000368104	9606.ENSP00000297316	0	0	0	0	0.128	0.057	0	0.423	0.484
BMP2	SOSTDC1	9606.ENSP00000368104	9606.ENSP00000304930	0	0	0	0	0.074	0.292	0	0.507	0.648
BMP2	NGF	9606.ENSP00000368104	9606.ENSP00000358525	0	0	0	0	0.051	0	0	0.608	0.612
BMP2	BMPR1A	9606.ENSP00000368104	9606.ENSP00000361107	0	0	0	0	0.053	0.995	0.900	0.998	0.999
BMP2	FOXO1	9606.ENSP00000368104	9606.ENSP00000368880	0	0	0	0	0.074	0	0	0.401	0.422
BMP2	TBX4	9606.ENSP00000368104	9606.ENSP00000495986	0	0	0	0	0	0.046	0	0.438	0.440
BMP2	TNF	9606.ENSP00000368104	9606.ENSP00000398698	0	0	0	0	0.058	0	0	0.726	0.731
BMPR1A	SHH	9606.ENSP00000361107	9606.ENSP00000297261	0	0	0	0	0.055	0.042	0	0.489	0.497
BMPR1A	BMP2	9606.ENSP00000361107	9606.ENSP00000368104	0	0	0	0	0.053	0.995	0.900	0.998	0.999
BOC	SPAG9	9606.ENSP00000273395	9606.ENSP00000262013	0	0	0	0	0	0	0.500	0.175	0.570
BOC	DISP1	9606.ENSP00000273395	9606.ENSP00000284476	0	0	0	0	0.098	0	0	0.442	0.476
BOC	CDC42	9606.ENSP00000273395	9606.ENSP00000497733	0	0	0	0	0.055	0.071	0.500	0.117	0.560
BOC	SHH	9606.ENSP00000273395	9606.ENSP00000297261	0	0	0	0	0	0.506	0.900	0.935	0.996
C11orf91	KIAA1549L	9606.ENSP00000368296	9606.ENSP00000315295	0	0	0	0	0	0	0	0.446	0.446
C16orf54	PAGR1	9606.ENSP00000327506	9606.ENSP00000326519	0	0	0	0	0	0	0	0.594	0.594
C16orf54	EVI2B	9606.ENSP00000327506	9606.ENSP00000333779	0	0	0	0	0.335	0	0	0.201	0.445
C1QL3	C1QTNF12	9606.ENSP00000298943	9606.ENSP00000329137	0	0	0	0	0	0	0	0.584	0.584
C1QTNF12	CAPRIN2	9606.ENSP00000329137	9606.ENSP00000298892	0	0	0	0	0	0	0	0.455	0.455
C1QTNF12	C1QL3	9606.ENSP00000329137	9606.ENSP00000298943	0	0	0	0	0	0	0	0.584	0.584
C1orf105	OTOGL	9606.ENSP00000356700	9606.ENSP00000447211	0	0	0	0	0.044	0	0	0.448	0.450
C1orf105	CCDC160	9606.ENSP00000356700	9606.ENSP00000427951	0	0	0	0	0	0	0	0.509	0.509
C2orf81	WDR54	9606.ENSP00000491941	9606.ENSP00000006526	0	0	0	0	0.084	0	0	0.447	0.471
C3orf20	NR2C2AP	9606.ENSP00000253697	9606.ENSP00000402756	0	0	0	0	0	0	0	0.447	0.447
C3orf20	C5orf47	9606.ENSP00000253697	9606.ENSP00000340887	0	0	0	0	0	0	0	0.576	0.576
C5	TNF	9606.ENSP00000223642	9606.ENSP00000398698	0	0	0	0	0	0	0	0.417	0.417
C5	APLNR	9606.ENSP00000223642	9606.ENSP00000475344	0	0	0	0	0	0	0.500	0	0.499
C5	CFHR1	9606.ENSP00000223642	9606.ENSP00000314299	0	0	0	0	0.055	0.405	0	0.484	0.684
C5	C9	9606.ENSP00000223642	9606.ENSP00000263408	0	0	0	0	0.291	0.981	0.900	0.751	0.999
C5	C7	9606.ENSP00000223642	9606.ENSP00000322061	0	0	0	0	0.060	0.982	0.900	0.687	0.999
C5orf47	C3orf20	9606.ENSP00000340887	9606.ENSP00000253697	0	0	0	0	0	0	0	0.576	0.576
C5orf47	ZPBP2	9606.ENSP00000340887	9606.ENSP00000335384	0	0	0	0	0.159	0	0	0.417	0.489
C5orf63	MARCHF3	9606.ENSP00000454153	9606.ENSP00000309141	0	0	0	0	0.042	0	0	0.570	0.570
C5orf63	MINAR2	9606.ENSP00000454153	9606.ENSP00000454268	0	0	0	0	0	0	0	0.542	0.542
C7	C5	9606.ENSP00000322061	9606.ENSP00000223642	0	0	0	0	0.060	0.982	0.900	0.687	0.999
C7	C9	9606.ENSP00000322061	9606.ENSP00000263408	0	0	0	0.716	0.228	0.800	0.900	0.247	0.986
C7	CFHR1	9606.ENSP00000322061	9606.ENSP00000314299	0	0	0	0	0.049	0	0	0.461	0.465
C9	LBP	9606.ENSP00000263408	9606.ENSP00000217407	0	0	0	0	0.139	0	0	0.350	0.416
C9	C5	9606.ENSP00000263408	9606.ENSP00000223642	0	0	0	0	0.291	0.981	0.900	0.751	0.999
C9	CFHR1	9606.ENSP00000263408	9606.ENSP00000314299	0	0	0	0	0.138	0	0	0.349	0.415
C9	C7	9606.ENSP00000263408	9606.ENSP00000322061	0	0	0	0.716	0.228	0.800	0.900	0.247	0.986
CAPRIN2	C1QTNF12	9606.ENSP00000298892	9606.ENSP00000329137	0	0	0	0	0	0	0	0.455	0.455
CASTOR1	RNF152	9606.ENSP00000384183	9606.ENSP00000316628	0	0	0	0	0	0	0	0.464	0.464
CASZ1	CSE1L	9606.ENSP00000366221	9606.ENSP00000262982	0	0	0	0	0	0	0	0.522	0.522
CBL	CSK	9606.ENSP00000264033	9606.ENSP00000220003	0	0	0	0	0.056	0.644	0	0.561	0.839
CBL	EPOR	9606.ENSP00000264033	9606.ENSP00000222139	0	0	0	0	0.055	0.292	0	0.509	0.642
CBL	FGF23	9606.ENSP00000264033	9606.ENSP00000237837	0	0	0	0	0	0	0.500	0.066	0.513
CBL	CD81	9606.ENSP00000264033	9606.ENSP00000263645	0	0	0	0	0.042	0.292	0	0.333	0.508
CBL	SFN	9606.ENSP00000264033	9606.ENSP00000340989	0	0	0	0	0.042	0.421	0	0.081	0.445
CBL	ERBIN	9606.ENSP00000264033	9606.ENSP00000426632	0	0	0	0	0.049	0.292	0	0.244	0.446
CBL	CD3D	9606.ENSP00000264033	9606.ENSP00000300692	0	0	0	0	0	0	0	0.486	0.485
CBL	AGFG1	9606.ENSP00000264033	9606.ENSP00000387282	0	0	0	0	0.095	0	0.500	0	0.528
CBL	CD320	9606.ENSP00000264033	9606.ENSP00000301458	0	0	0	0	0	0	0	0.545	0.545
CBL	TNF	9606.ENSP00000264033	9606.ENSP00000398698	0	0	0	0	0	0.095	0	0.587	0.610
CBL	MMAB	9606.ENSP00000264033	9606.ENSP00000445920	0	0	0	0	0.047	0	0	0.828	0.829
CBL	CDC42	9606.ENSP00000264033	9606.ENSP00000497733	0	0	0	0	0.044	0.512	0.500	0.669	0.912
CBL	SORBS2	9606.ENSP00000264033	9606.ENSP00000347852	0	0	0	0	0	0.591	0	0.830	0.927
CBL	CD2AP	9606.ENSP00000264033	9606.ENSP00000352264	0	0	0	0	0.056	0.880	0	0.909	0.988
CCDC160	C1orf105	9606.ENSP00000427951	9606.ENSP00000356700	0	0	0	0	0	0	0	0.509	0.509
CCDC169-SOHLH2	RPA3	9606.ENSP00000421868	9606.ENSP00000223129	0	0	0	0	0	0	0	0.548	0.548
CCDC169-SOHLH2	ZP1	9606.ENSP00000421868	9606.ENSP00000278853	0	0	0	0	0	0	0	0.473	0.473
CCDC169-SOHLH2	NOBOX	9606.ENSP00000421868	9606.ENSP00000419457	0	0	0	0	0	0	0	0.746	0.746
CCDC169-SOHLH2	ZP4	9606.ENSP00000421868	9606.ENSP00000482304	0	0	0	0	0	0	0	0.406	0.406
CCNI2	GLYATL1B	9606.ENSP00000478257	9606.ENSP00000488958	0	0	0	0	0.140	0.279	0	0.116	0.403
CCR2	CD74	9606.ENSP00000292301	9606.ENSP00000009530	0	0	0	0	0.144	0	0	0.478	0.535
CCR2	TBX21	9606.ENSP00000292301	9606.ENSP00000177694	0	0	0	0	0.156	0	0	0.481	0.544
CCR2	TIMP1	9606.ENSP00000292301	9606.ENSP00000218388	0	0	0	0	0.042	0	0	0.404	0.405
CCR2	ACKR4	9606.ENSP00000292301	9606.ENSP00000249887	0	0	0.096	0.800	0	0	0	0.559	0.584
CCR2	LGALS3	9606.ENSP00000292301	9606.ENSP00000254301	0	0	0	0	0.059	0	0	0.622	0.629
CCR2	IL16	9606.ENSP00000292301	9606.ENSP00000302935	0	0	0	0	0.197	0.071	0	0.290	0.424
CCR2	RAG1	9606.ENSP00000292301	9606.ENSP00000299440	0	0	0	0	0	0	0	0.433	0.433
CCR2	CD276	9606.ENSP00000292301	9606.ENSP00000320084	0	0	0	0	0	0	0	0.435	0.435
CCR2	IL1R2	9606.ENSP00000292301	9606.ENSP00000330959	0	0	0	0	0.119	0.091	0	0.367	0.450
CCR2	CD3D	9606.ENSP00000292301	9606.ENSP00000300692	0	0	0	0	0.242	0.071	0	0.289	0.455
CCR2	PDCD1	9606.ENSP00000292301	9606.ENSP00000335062	0	0	0	0	0.105	0	0	0.449	0.486
CCR2	CD40LG	9606.ENSP00000292301	9606.ENSP00000359663	0	0	0	0	0.158	0	0	0.481	0.544
CCR2	CD1C	9606.ENSP00000292301	9606.ENSP00000357152	0	0	0	0	0.254	0	0	0.447	0.569
CCR2	TEK	9606.ENSP00000292301	9606.ENSP00000369375	0	0	0	0	0	0	0	0.580	0.580
CCR2	AIF1	9606.ENSP00000292301	9606.ENSP00000365227	0	0	0	0	0.190	0	0	0.583	0.648
CCR2	JAK3	9606.ENSP00000292301	9606.ENSP00000432511	0	0	0	0	0.148	0	0.650	0.242	0.754
CCR2	TNF	9606.ENSP00000292301	9606.ENSP00000398698	0	0	0	0	0.084	0	0	0.761	0.771
CCR2	ACKR2	9606.ENSP00000292301	9606.ENSP00000416996	0	0	0	0.843	0	0	0	0.803	0.803
CCR2	CCR3	9606.ENSP00000292301	9606.ENSP00000441600	0	0	0.074	0.927	0.146	0	0.500	0.956	0.980
CCR3	TBX21	9606.ENSP00000441600	9606.ENSP00000177694	0	0	0	0	0.072	0	0	0.381	0.401
CCR3	ACKR4	9606.ENSP00000441600	9606.ENSP00000249887	0	0	0.086	0.786	0	0	0	0.456	0.481
CCR3	CCR2	9606.ENSP00000441600	9606.ENSP00000292301	0	0	0.074	0.927	0.146	0	0.500	0.956	0.980
CCR3	IL16	9606.ENSP00000441600	9606.ENSP00000302935	0	0	0	0	0.067	0.071	0	0.579	0.603
CCR3	CD40LG	9606.ENSP00000441600	9606.ENSP00000359663	0	0	0	0	0.110	0	0	0.402	0.445
CCR3	AIF1	9606.ENSP00000441600	9606.ENSP00000365227	0	0	0	0	0.129	0	0	0.399	0.454
CCR3	TNF	9606.ENSP00000441600	9606.ENSP00000398698	0	0	0	0	0.105	0	0	0.651	0.674
CCR3	ACKR2	9606.ENSP00000441600	9606.ENSP00000416996	0	0	0	0.836	0.047	0	0	0.548	0.551
CCR3	JAK3	9606.ENSP00000441600	9606.ENSP00000432511	0	0	0	0	0.102	0	0.650	0.176	0.718
CD160	TBX21	9606.ENSP00000358294	9606.ENSP00000177694	0	0	0	0	0.268	0	0	0.571	0.672
CD160	TNFSF4	9606.ENSP00000358294	9606.ENSP00000281834	0	0	0	0	0.098	0	0	0.400	0.435
CD160	CD276	9606.ENSP00000358294	9606.ENSP00000320084	0	0	0	0	0	0	0	0.480	0.480
CD160	PDCD1	9606.ENSP00000358294	9606.ENSP00000335062	0	0	0	0	0.099	0	0	0.766	0.780
CD160	HHLA2	9606.ENSP00000358294	9606.ENSP00000350402	0	0	0	0	0.042	0	0	0.447	0.447
CD160	CD40LG	9606.ENSP00000358294	9606.ENSP00000359663	0	0	0	0	0.104	0	0	0.417	0.455
CD160	TNF	9606.ENSP00000358294	9606.ENSP00000398698	0	0	0	0	0.048	0	0	0.479	0.482
CD160	HLA-G	9606.ENSP00000358294	9606.ENSP00000366024	0	0	0	0	0.070	0	0.500	0.985	0.992
CD1C	CD74	9606.ENSP00000357152	9606.ENSP00000009530	0	0	0	0	0.196	0.071	0	0.306	0.437
CD1C	TBX21	9606.ENSP00000357152	9606.ENSP00000177694	0	0	0	0	0.178	0.046	0	0.424	0.509
CD1C	TNFSF4	9606.ENSP00000357152	9606.ENSP00000281834	0	0	0	0	0.061	0	0	0.394	0.407
CD1C	CCR2	9606.ENSP00000357152	9606.ENSP00000292301	0	0	0	0	0.254	0	0	0.447	0.569
CD1C	CD3D	9606.ENSP00000357152	9606.ENSP00000300692	0	0	0	0	0.193	0	0.500	0.585	0.818
CD1C	CD276	9606.ENSP00000357152	9606.ENSP00000320084	0	0	0	0	0.057	0	0	0.552	0.559
CD1C	PDCD1	9606.ENSP00000357152	9606.ENSP00000335062	0	0	0	0	0.131	0	0	0.392	0.449
CD1C	LY75-CD302	9606.ENSP00000357152	9606.ENSP00000423463	0	0	0	0	0.062	0	0	0.620	0.628
CD1C	TNF	9606.ENSP00000357152	9606.ENSP00000398698	0	0	0	0	0.118	0	0	0.670	0.697
CD1C	CD40LG	9606.ENSP00000357152	9606.ENSP00000359663	0	0	0	0	0.134	0	0	0.788	0.808
CD276	TBX21	9606.ENSP00000320084	9606.ENSP00000177694	0	0	0	0	0	0	0	0.686	0.686
CD276	CD81	9606.ENSP00000320084	9606.ENSP00000263645	0	0	0	0	0.062	0.045	0	0.576	0.587
CD276	DNMT3A	9606.ENSP00000320084	9606.ENSP00000264709	0	0	0	0	0.065	0	0	0.470	0.483
CD276	TNFSF4	9606.ENSP00000320084	9606.ENSP00000281834	0	0	0	0	0	0	0	0.813	0.813
CD276	CCR2	9606.ENSP00000320084	9606.ENSP00000292301	0	0	0	0	0	0	0	0.435	0.435
CD276	HLA-G	9606.ENSP00000320084	9606.ENSP00000366024	0	0	0	0	0	0	0	0.418	0.418
CD276	LY75-CD302	9606.ENSP00000320084	9606.ENSP00000423463	0	0	0	0	0	0	0	0.433	0.433
CD276	CD160	9606.ENSP00000320084	9606.ENSP00000358294	0	0	0	0	0	0	0	0.480	0.480
CD276	CD1C	9606.ENSP00000320084	9606.ENSP00000357152	0	0	0	0	0.057	0	0	0.552	0.559
CD276	TNF	9606.ENSP00000320084	9606.ENSP00000398698	0	0	0	0	0	0.185	0	0.700	0.745
CD276	PDCD1	9606.ENSP00000320084	9606.ENSP00000335062	0	0	0	0	0	0	0	0.784	0.784
CD276	CD40LG	9606.ENSP00000320084	9606.ENSP00000359663	0	0	0	0	0	0	0	0.935	0.935
CD276	TREML2	9606.ENSP00000320084	9606.ENSP00000418767	0	0	0	0	0.090	0	0	0.953	0.955
CD2AP	CSK	9606.ENSP00000352264	9606.ENSP00000220003	0	0	0	0	0.049	0.045	0	0.432	0.439
